Ablennes hians
Lycodes squamiventer
Lycodes terraenovae
Lycodes vahlii
Lycodonus flagellicauda
Lyconus brachycolus
Macroparalepis nigra
Macroramphosus scolopax
Macrourus berglax
Magnisudis atlantica
Makaira nigricans
Malacocephalus laevis
Malacocephalus occidentalis
Malacoctenus africanus
Malacoraja kreffti
Malacoraja spinacidermis
Malacosteus niger
Mallotus villosus
Manducus maderensis
Margrethia obtusirostra
Masturus lanceolatus
Mauligobius maderensis
Mauligobius nigri
Maulisia argipalla
Maulisia mauli
Maulisia microlepis
Maurolicus muelleri
Megachasma pelagios
Megalops atlanticus
Melamphaes longivelis
Melamphaes microps
Melamphaes simus
Melamphaes suborbitalis
Melamphaes typhlops
Melanocetus johnsonii
Melanogrammus aeglefinus
Melanolagus bericoides
Melanonus zugmayeri
Melanostigma atlanticum
Melanostomias bartonbeani
Melanostomias biseriatus
Melanostomias macrophotus
Melanostomias melanopogon
Melanostomias melanops
Melanostomias tentaculatus
Melanostomias valdiviae
Melichthys niger
Merlangius merlangus
Merluccius merluccius
Merluccius polli
Merluccius senegalensis
Mesogobius batrachocephalus
Micrenophrys lilljeborgii
Microchirus azevia
Microchirus boscanion
Microchirus frechkopi
Microchirus ocellatus
Microchirus theophila
Microchirus variegatus
Microchirus wittei
Microichthys coccoi
Microichthys sanzoi
Microlipophrys adriaticus
Microlipophrys caboverdensis
Microlipophrys canevae
Microlipophrys dalmatinus
Microlipophrys nigriceps
Microlipophrys velifer
Micromesistius poutassou
Microphis aculeatus
Microstoma microstoma
Microstomus kitt
Millerigobius macrocephalus
Minyichthys sentus
Mirapinna esau
Mirognathus normani
Misgurnus fossilis
Mitsukurina owstoni
Mobula birostris
Mobula hypostoma
Mobula mobular
Mobula rochebrunei
Mobula thurstoni
Mola mola
Molva dypterygia
Molva macrophthalma
Molva molva
Monacoa grimaldii
Monochirus hispidus
Monodactylus sebae
Monognathus boehlkei
Monognathus herringi
Monognathus taningi
Monomitopus metriostoma
Monotaxis grandoculis
Mora moro
Mugil bananensis
Mugil capurrii
Mugil cephalus
Mugil curema
Mulloidichthys martinicus
Mullus barbatus
Mullus surmuletus
Muraena augusti
Muraena helena
Muraena melanotis
Muraena robusta
Muraenesox cinereus
Mustelus asterias
Mustelus mustelus
Mustelus punctulatus
Mycteroperca fusca
Mycteroperca rubra
Myctophum affine
Myctophum asperum
Myctophum nitidulum
Myctophum obtusirostre
Myctophum punctatum
Myctophum selenops
Myliobatis aquila
Myoxocephalus quadricornis
Myoxocephalus scorpioides
Myoxocephalus scorpius
Myrichthys pardalis
Myripristis jacobus
Myroconger compressus
Myrophis plumbeus
Mystriophis crosnieri
Mystriophis rostellatus
Myxine glutinosa
Myxine ios
Nannobrachium atrum
Nannobrachium cuprarium
Nannobrachium isaacsi
Nannobrachium lineatum
Nansenia groenlandica
Nansenia iberica
Nansenia oblita
Narcetes stomias
Naucrates ductor
Nealotus tripes
Negaprion brevirostris
Nematogobius brachynemus
Nematogobius maindroni
Nemichthys curvirostris
Nemichthys scolopaceus
Nemipterus japonicus
Nemipterus randalli
Nemoossis belloci
Neochelon falcipinnis
Neocyttus helgae
Neogobius fluviatilis
Neogobius melanostomus
Neoharriotta pinnata
Neomerinthe folgori
Neonesthes capensis
Neoraja caerulea
Neoraja iberica
Neoscopelus macrolepidotus
Neoscopelus microchir
Nerophis lumbriciformis
Nerophis maculatus
Nerophis ophidion
Nesiarchus nasutus
Nessorhamphus ingolfianus
Nettastoma melanura
Netuma thalassina
Nezumia aequalis
Nezumia duodecim
Nezumia longebarbata
Nezumia micronychodon
Nezumia sclerorhynchus
Nicholsina collettei
Nomeus gronovii
Normichthys operosus
Notacanthus bonaparte
Notacanthus chemnitzii
Notolychnus valdiviae
Notoscopelus bolini
Notoscopelus caudispinosus
Notoscopelus elongatus
Notoscopelus kroyeri
Notoscopelus resplendens
Oblada melanura
Odondebuenia balearica
Odontaspis ferox
Odontaspis noronhai
Odontomacrurus murrayi
Odontostomias masticopogon
Odontostomias micropogon
Odontostomops normalops
Oedalechilus labeo
Omobranchus punctatus
Omosudis lowii
Oncorhynchus gorbuscha
Oncorhynchus keta
Oncorhynchus mykiss
Oneirodes anisacanthus
Oneirodes clarkei
Oneirodes eschrichtii
Oneirodes myrionemus
Opeatogenys cadenati
Opeatogenys gracilis
Ophichthus ophis
Ophichthus rufus
Ophidion barbatum
Ophidion lozanoi
Ophidion rochei
Ophioblennius atlanticus
Ophisurus serpens
Opisthoproctus soleatus
Oplegnathus fasciatus
Orcynopsis unicolor
Osmerus eperlanus
Ostorhinchus fasciatus
Ostracion cubicus
Oxynotus centrina
Oxynotus paradoxus
Oxyporhamphus similis
Oxyurichthys papuensis
Oxyurichthys petersii
Pachycara bulbiceps
Pachycara crassiceps
Pachycara crossacanthum
Pachystomias microdon
Pagellus acarne
Pagellus bellottii
Pagellus bogaraveo
Pagellus erythrinus
Pagrus africanus
Pagrus auriga
Pagrus caeruleostictus
Pagrus major
Pagrus pagrus
Pampus argenteus
Panturichthys fowleri
Panturichthys mauritanicus
Papilloculiceps longiceps
Parablennius dialloi
Parablennius gattorugine
Parablennius goreensis
Parablennius incognitus
Parablennius parvicornis
Parablennius pilicornis
Parablennius rouxi
Parablennius ruber
Parablennius salensis
Parablennius sanguinolentus
Parablennius sierraensis
Parablennius tentacularis
Parablennius thysanius
Parablennius zvonimiri
Paracaristius maderensis
Paracetonurus flagellicauda
Parachelon grandisquamis
Paraconger macrops
Paraconger notialis
Paragaleus pectoralis
Parakuhlia macrophthalmus
Paralepis coregonoides
Paralepis speciosa
Paraliparis bathybius
Paraliparis copei
Paraliparis edwardsi
Paraliparis hystrix
Paraliparis membranaceus
Paraliparis murieli
Parapercis atlantica
Parapristipoma humile
Parapristipoma octolineatum
Parasudis fraserbrunneri
Parataeniophorus gulosus
Parexocoetus mento
Parophidion vassali
Parupeneus forsskali
Pegusa cadenati
Pegusa impar
Pegusa lascaris
Pegusa nasuta
