"Kingdom" "Phylum" "Class_Gigaclass" "Order" "Family" "Genus" "Species_Name" "COI" "12S" "16S" "cytb"
"Animalia" "Chordata" "Elasmobranchii" "Carcharhiniformes" "Pentanchidae" "Apristurus" "Apristurus laurussonii" 0 1 1 0
"Animalia" "Chordata" "Elasmobranchii" "Carcharhiniformes" "Pentanchidae" "Apristurus" "Apristurus profundorum" 6 0 0 0
"Animalia" "Chordata" "Actinopteri" "Eupercaria" "Lutjanidae" "Apsilus" "Apsilus fuscus" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Anguilliformes" "Ophichthidae" "Apterichtus" "Apterichtus anguiformis" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Anguilliformes" "Ophichthidae" "Apterichtus" "Apterichtus caecus" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Anguilliformes" "Ophichthidae" "Apterichtus" "Apterichtus monodi" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Gadiformes" "Gadidae" "Arctogadus" "Arctogadus glacialis" 40 21 19 14
"Animalia" "Chordata" "Actinopteri" "Aulopiformes" "Paralepididae" "Arctozenus" "Arctozenus risso" 24 3 0 0
"Animalia" "Chordata" "Actinopteri" "Argentiniformes" "Argentinidae" "Argentina" "Argentina silus" 17 3 4 4
"Animalia" "Chordata" "Actinopteri" "Argentiniformes" "Argentinidae" "Argentina" "Argentina sphyraena" 44 1 3 3
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Sternoptychidae" "Argyripnus" "Argyripnus atlanticus" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Sternoptychidae" "Argyropelecus" "Argyropelecus aculeatus" 38 4 1 0
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Sternoptychidae" "Argyropelecus" "Argyropelecus affinis" 7 4 2 0
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Sternoptychidae" "Argyropelecus" "Argyropelecus gigas" 30 1 0 0
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Sternoptychidae" "Argyropelecus" "Argyropelecus hemigymnus" 27 1 1 0
