"Kingdom" "Phylum" "Class_Gigaclass" "Order" "Family" "Genus" "Species_Name"
"Animalia" "Chordata" "Actinopteri" "Cypriniformes" "Cyprinidae" "Barbus" "Barbus barbus"
"Animalia" "Chordata" "Actinopteri" "Anguilliformes" "Ophichthidae" "Bascanichthys" "Bascanichthys ceciliae"
"Animalia" "Chordata" "Actinopteri" "Ophidiiformes" "Ophidiidae" "Bassozetus" "Bassozetus oncerocephalus"
"Animalia" "Chordata" "Actinopteri" "Ophidiiformes" "Ophidiidae" "Bassozetus" "Bassozetus taenia"
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Bathophilus" "Bathophilus brevis"
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Bathophilus" "Bathophilus digitatus"
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Bathophilus" "Bathophilus longipinnis"
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Bathophilus" "Bathophilus nigerrimus"
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Bathophilus" "Bathophilus pawneei"
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Bathophilus" "Bathophilus vaillanti"
"Animalia" "Chordata" "Actinopteri" "Anguilliformes" "Congridae" "Bathycongrus" "Bathycongrus bertini"
"Animalia" "Chordata" "Actinopteri" "Gadiformes" "Macrouridae" "Bathygadus" "Bathygadus favosus"
"Animalia" "Chordata" "Actinopteri" "Gadiformes" "Macrouridae" "Bathygadus" "Bathygadus macrops"
"Animalia" "Chordata" "Actinopteri" "Gadiformes" "Macrouridae" "Bathygadus" "Bathygadus melanobranchus"
"Animalia" "Chordata" "Actinopteri" "Gobiiformes" "Gobiidae" "Bathygobius" "Bathygobius casamancus"
"Animalia" "Chordata" "Actinopteri" "Gobiiformes" "Gobiidae" "Bathygobius" "Bathygobius soporator"
"Animalia" "Chordata" "Actinopteri" "Alepocephaliformes" "Alepocephalidae" "Bathylaco" "Bathylaco nigricans"
"Animalia" "Chordata" "Actinopteri" "Argentiniformes" "Bathylagidae" "Bathylagichthys" "Bathylagichthys greyae"
"Animalia" "Chordata" "Actinopteri" "Argentiniformes" "Bathylagidae" "Bathylagoides" "Bathylagoides argyrogaster"
"Animalia" "Chordata" "Actinopteri" "Argentiniformes" "Bathylagidae" "Bathylagus" "Bathylagus euryops"
"Animalia" "Chordata" "Actinopteri" "Aulopiformes" "Ipnopidae" "Bathymicrops" "Bathymicrops regis"
"Animalia" "Chordata" "Actinopteri" "Ophidiiformes" "Ophidiidae" "Bathyonus" "Bathyonus laticeps"
"Animalia" "Chordata" "Actinopteri" "Alepocephaliformes" "Alepocephalidae" "Bathyprion" "Bathyprion danae"
"Animalia" "Chordata" "Actinopteri" "Aulopiformes" "Ipnopidae" "Bathypterois" "Bathypterois dubius"
"Animalia" "Chordata" "Actinopteri" "Aulopiformes" "Ipnopidae" "Bathypterois" "Bathypterois grallator"
"Animalia" "Chordata" "Actinopteri" "Aulopiformes" "Ipnopidae" "Bathypterois" "Bathypterois longipes"
"Animalia" "Chordata" "Actinopteri" "Aulopiformes" "Ipnopidae" "Bathypterois" "Bathypterois phenax"
"Animalia" "Chordata" "Actinopteri" "Aulopiformes" "Ipnopidae" "Bathypterois" "Bathypterois quadrifilis"
"Animalia" "Chordata" "Actinopteri" "Aulopiformes" "Ipnopidae" "Bathypterois" "Bathypterois viridensis"
"Animalia" "Chordata" "Elasmobranchii" "Rajiformes" "Arhynchobatidae" "Bathyraja" "Bathyraja hesperafricana"
"Animalia" "Chordata" "Elasmobranchii" "Rajiformes" "Arhynchobatidae" "Bathyraja" "Bathyraja richardsoni"
"Animalia" "Chordata" "Elasmobranchii" "Rajiformes" "Arhynchobatidae" "Bathyraja" "Bathyraja spinicauda"
"Animalia" "Chordata" "Actinopteri" "Aulopiformes" "Bathysauridae" "Bathysaurus" "Bathysaurus ferox"
"Animalia" "Chordata" "Actinopteri" "Aulopiformes" "Bathysauridae" "Bathysaurus" "Bathysaurus mollis"
"Animalia" "Chordata" "Actinopteri" "Pleuronectiformes" "Soleidae" "Bathysolea" "Bathysolea lactea"
"Animalia" "Chordata" "Actinopteri" "Pleuronectiformes" "Soleidae" "Bathysolea" "Bathysolea polli"
"Animalia" "Chordata" "Actinopteri" "Pleuronectiformes" "Soleidae" "Bathysolea" "Bathysolea profundicola"
"Animalia" "Chordata" "Elasmobranchii" "Myliobatiformes" "Dasyatidae" "Bathytoshia" "Bathytoshia centroura"
"Animalia" "Chordata" "Actinopteri" "Alepocephaliformes" "Alepocephalidae" "Bathytroctes" "Bathytroctes macrolepis"
"Animalia" "Chordata" "Actinopteri" "Alepocephaliformes" "Alepocephalidae" "Bathytroctes" "Bathytroctes michaelsarsi"
"Animalia" "Chordata" "Actinopteri" "Alepocephaliformes" "Alepocephalidae" "Bathytroctes" "Bathytroctes microlepis"
"Animalia" "Chordata" "Actinopteri" "Aulopiformes" "Ipnopidae" "Bathytyphlops" "Bathytyphlops sewelli"
"Animalia" "Chordata" "Actinopteri" "Anguilliformes" "Congridae" "Bathyuroconger" "Bathyuroconger vicinus"
"Animalia" "Chordata" "Actinopteri" "Batrachoidiformes" "Batrachoididae" "Batrachoides" "Batrachoides liberiensis"
"Animalia" "Chordata" "Actinopteri" "Ophidiiformes" "Bythitidae" "Bellottia" "Bellottia apoda"
"Animalia" "Chordata" "Actinopteri" "Beloniformes" "Belonidae" "Belone" "Belone belone"
"Animalia" "Chordata" "Actinopteri" "Beloniformes" "Belonidae" "Belone" "Belone euxini"
"Animalia" "Chordata" "Actinopteri" "Beloniformes" "Belonidae" "Belone" "Belone svetovidovi"
"Animalia" "Chordata" "Actinopteri" "Perciformes" "Percophidae" "Bembrops" "Bembrops heterurus"
"Animalia" "Chordata" "Actinopteri" "Aulopiformes" "Scopelarchidae" "Benthalbella" "Benthalbella infans"
