"Species"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"total_sequences"
"Sphoeroides_pachygaster"	"Chordata"	"Actinopteri"	"Tetraodontiformes"	"Tetraodontidae"	"Sphoeroides"	2
"Sphyraena_barracuda"	"Chordata"	"Actinopteri"	"Carangaria"	"Sphyraenidae"	"Sphyraena"	2
"Sphyraena_pinguis"	"Chordata"	"Actinopteri"	"Carangaria"	"Sphyraenidae"	"Sphyraena"	2
"Sphyrna_lewini"	"Chordata"	"Elasmobranchii"	"Carcharhiniformes"	"Sphyrnidae"	"Sphyrna"	4
"Sphyrna_mokarran"	"Chordata"	"Elasmobranchii"	"Carcharhiniformes"	"Sphyrnidae"	"Sphyrna"	5
"Sphyrna_tudes"	"Chordata"	"Elasmobranchii"	"Carcharhiniformes"	"Sphyrnidae"	"Sphyrna"	3
"Sphyrna_zygaena"	"Chordata"	"Elasmobranchii"	"Carcharhiniformes"	"Sphyrnidae"	"Sphyrna"	6
"Spicara_maena"	"Chordata"	"Actinopteri"	"Eupercaria"	"Sparidae"	"Spicara"	3
"Spinachia_spinachia"	"Chordata"	"Actinopteri"	"Perciformes"	"Gasterosteidae"	"Spinachia"	4
"Spratelloides_delicatulus"	"Chordata"	"Actinopteri"	"Clupeiformes"	"Clupeidae"	"Spratelloides"	2
"Sprattus_sprattus"	"Chordata"	"Actinopteri"	"Clupeiformes"	"Clupeidae"	"Sprattus"	1
"Squalius_cephalus"	"Chordata"	"Actinopteri"	"Cypriniformes"	"Cyprinidae"	"Squalius"	4
"Squalus_acanthias"	"Chordata"	"Elasmobranchii"	"Squaliformes"	"Squalidae"	"Squalus"	5
"Squalus_blainville"	"Chordata"	"Elasmobranchii"	"Squaliformes"	"Squalidae"	"Squalus"	1
"Squalus_megalops"	"Chordata"	"Elasmobranchii"	"Squaliformes"	"Squalidae"	"Squalus"	1
"Squatina_squatina"	"Chordata"	"Elasmobranchii"	"Squatiniformes"	"Squatinidae"	"Squatina"	3
"Stegastes_imbricatus"	"Chordata"	"Actinopteri"	"Ovalentaria"	"Pomacentridae"	"Stegastes"	1
"Sternoptyx_diaphana"	"Chordata"	"Actinopteri"	"Stomiiformes"	"Sternoptychidae"	"Sternoptyx"	2
"Stolephorus_insularis"	"Chordata"	"Actinopteri"	"Clupeiformes"	"Engraulidae"	"Stolephorus"	2
"Stomias_boa"	"Chordata"	"Actinopteri"	"Stomiiformes"	"Stomiidae"	"Stomias"	1
"Stylephorus_chordatus"	"Chordata"	"Actinopteri"	"Stylephoriformes"	"Stylephoridae"	"Stylephorus"	3
"Symphodus_melops"	"Chordata"	"Actinopteri"	"Eupercaria"	"Labridae"	"Symphodus"	1
"Synagrops_japonicus"	"Chordata"	"Actinopteri"	"Acropomatiformes"	"Acropomatidae"	"Synagrops"	3
"Synaphobranchus_kaupii"	"Chordata"	"Actinopteri"	"Anguilliformes"	"Synaphobranchidae"	"Synaphobranchus"	3
"Syngnathus_abaster"	"Chordata"	"Actinopteri"	"Syngnathiformes"	"Syngnathidae"	"Syngnathus"	1
"Syngnathus_acus"	"Chordata"	"Actinopteri"	"Syngnathiformes"	"Syngnathidae"	"Syngnathus"	7
"Syngnathus_rostellatus"	"Chordata"	"Actinopteri"	"Syngnathiformes"	"Syngnathidae"	"Syngnathus"	2
"Syngnathus_taenionotus"	"Chordata"	"Actinopteri"	"Syngnathiformes"	"Syngnathidae"	"Syngnathus"	1
