"Species"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"total_sequences"
"Chilomycterus_antennatus"	"Chordata"	"Actinopteri"	"Tetraodontiformes"	"Diodontidae"	"Chilomycterus"	1
"Chilomycterus_reticulatus"	"Chordata"	"Actinopteri"	"Tetraodontiformes"	"Diodontidae"	"Chilomycterus"	3
"Chimaera_monstrosa"	"Chordata"	"Holocephali"	"Chimaeriformes"	"Chimaeridae"	"Chimaera"	5
"Chirocentrus_dorab"	"Chordata"	"Actinopteri"	"Clupeiformes"	"Chirocentridae"	"Chirocentrus"	5
"Chirolophis_ascanii"	"Chordata"	"Actinopteri"	"Perciformes"	"Stichaeidae"	"Chirolophis"	2
"Chirostomias_pliopterus"	"Chordata"	"Actinopteri"	"Stomiiformes"	"Stomiidae"	"Chirostomias"	2
"Chlamydoselachus_anguineus"	"Chordata"	"Elasmobranchii"	"Hexanchiformes"	"Chlamydoselachidae"	"Chlamydoselachus"	5
"Chlorophthalmus_agassizi"	"Chordata"	"Actinopteri"	"Aulopiformes"	"Chlorophthalmidae"	"Chlorophthalmus"	2
"Chondrostoma_nasus"	"Chordata"	"Actinopteri"	"Cypriniformes"	"Cyprinidae"	"Chondrostoma"	1
"Chromis_chromis"	"Chordata"	"Actinopteri"	"Ovalentaria"	"Pomacentridae"	"Chromis"	1
"Chromis_viridis"	"Chordata"	"Actinopteri"	"Ovalentaria"	"Pomacentridae"	"Chromis"	4
"Ciliata_mustela"	"Chordata"	"Actinopteri"	"Gadiformes"	"Lotidae"	"Ciliata"	3
"Ciliata_septentrionalis"	"Chordata"	"Actinopteri"	"Gadiformes"	"Lotidae"	"Ciliata"	3
"Clinitrachus_argentatus"	"Chordata"	"Actinopteri"	"Blenniiformes"	"Clinidae"	"Clinitrachus"	2
"Clupea_harengus"	"Chordata"	"Actinopteri"	"Clupeiformes"	"Clupeidae"	"Clupea"	107
"Clupeonella_cultriventris"	"Chordata"	"Actinopteri"	"Clupeiformes"	"Clupeidae"	"Clupeonella"	2
"Cobitis_taenia"	"Chordata"	"Actinopteri"	"Cypriniformes"	"Cobitidae"	"Cobitis"	3
"Coelorinchus_labiatus"	"Chordata"	"Actinopteri"	"Gadiformes"	"Macrouridae"	"Coelorinchus"	1
"Coelorinchus_occa"	"Chordata"	"Actinopteri"	"Gadiformes"	"Macrouridae"	"Coelorinchus"	1
"Coloconger_cadenati"	"Chordata"	"Actinopteri"	"Anguilliformes"	"Colocongridae"	"Coloconger"	3
"Conger_conger"	"Chordata"	"Actinopteri"	"Anguilliformes"	"Congridae"	"Conger"	2
"Conocara_macropterum"	"Chordata"	"Actinopteri"	"Alepocephaliformes"	"Alepocephalidae"	"Conocara"	3
"Conocara_murrayi"	"Chordata"	"Actinopteri"	"Alepocephaliformes"	"Alepocephalidae"	"Conocara"	3
"Coregonus_albula"	"Chordata"	"Actinopteri"	"Salmoniformes"	"Salmonidae"	"Coregonus"	1
"Coregonus_lavaretus"	"Chordata"	"Actinopteri"	"Salmoniformes"	"Salmonidae"	"Coregonus"	82
"Coregonus_maraena"	"Chordata"	"Actinopteri"	"Salmoniformes"	"Salmonidae"	"Coregonus"	3
"Coregonus_nasus"	"Chordata"	"Actinopteri"	"Salmoniformes"	"Salmonidae"	"Coregonus"	2
"Coregonus_oxyrinchus"	"Chordata"	"Actinopteri"	"Salmoniformes"	"Salmonidae"	"Coregonus"	22
"Coregonus_peled"	"Chordata"	"Actinopteri"	"Salmoniformes"	"Salmonidae"	"Coregonus"	2
"Coris_julis"	"Chordata"	"Actinopteri"	"Eupercaria"	"Labridae"	"Coris"	1
"Coryphaena_equiselis"	"Chordata"	"Actinopteri"	"Carangiformes"	"Coryphaenidae"	"Coryphaena"	4
"Coryphaena_hippurus"	"Chordata"	"Actinopteri"	"Carangiformes"	"Coryphaenidae"	"Coryphaena"	7
"Coryphaenoides_armatus"	"Chordata"	"Actinopteri"	"Gadiformes"	"Macrouridae"	"Coryphaenoides"	1
"Coryphaenoides_brevibarbis"	"Chordata"	"Actinopteri"	"Gadiformes"	"Macrouridae"	"Coryphaenoides"	2
"Coryphaenoides_guentheri"	"Chordata"	"Actinopteri"	"Gadiformes"	"Macrouridae"	"Coryphaenoides"	1
"Coryphaenoides_leptolepis"	"Chordata"	"Actinopteri"	"Gadiformes"	"Macrouridae"	"Coryphaenoides"	1
"Coryphaenoides_mediterraneus"	"Chordata"	"Actinopteri"	"Gadiformes"	"Macrouridae"	"Coryphaenoides"	1
